label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
2.15,./data/SAR/20180429_235956_canny.tif,470,4104,1,3,0.4431372549019607,0.1607843137254902,0.130431380926394,0.05186622962355614,0.9481337666511536
1.858,./data/SAR/20180429_235956_canny.tif,471,4105,1,3,0.4235294117647059,0.1254901960784313,0.1304434234020756,0.04167105630040169,0.9583289623260498
2.096,./data/SAR/20180429_235956_canny.tif,472,4105,1,3,0.3176470588235294,0.1372549019607843,0.1304434234020756,0.07941307127475739,0.9205869436264038
1.799,./data/SAR/20180429_235956_canny.tif,473,4106,1,3,0.2745098039215686,0.1450980392156863,0.1304554808373544,0.07429003715515137,0.9257099628448486
1.948,./data/SAR/20180429_235956_canny.tif,475,4107,1,3,0.3254901960784314,0.1215686274509803,0.1304675233130361,0.08216167986392975,0.9178383350372314
2.095,./data/SAR/20180429_235956_canny.tif,476,4107,1,0,0.4431372549019607,0.1411764705882353,0.1304675233130361,0.13962945342063904,0.8603705763816833
2.167,./data/SAR/20180429_235956_canny.tif,477,4108,1,3,0.4470588235294118,0.1176470588235294,0.1304795807483149,0.13242051005363464,0.8675795197486877
4.04,./data/SAR/20180429_235956_canny.tif,478,4109,1,3,0.2862745098039215,0.0941176470588235,0.1304916232239966,0.21486808359622955,0.7851318717002869
2.496,./data/SAR/20180429_235956_canny.tif,479,4109,1,3,0.2509803921568627,0.0980392156862745,0.1304916232239966,0.255970299243927,0.744029700756073
3.54,./data/SAR/20180429_235956_canny.tif,481,4110,1,0,0.4078431372549019,0.1294117647058823,0.1305036806592754,0.33464083075523376,0.6653591990470886
2.779,./data/SAR/20180429_235956_canny.tif,482,4111,1,3,0.4784313725490196,0.1098039215686274,0.1305157231349571,0.3430027365684509,0.6569972634315491
1.832,./data/SAR/20180429_235956_canny.tif,483,4112,1,3,0.4156862745098039,0.1372549019607843,0.1305277805702359,0.17343580722808838,0.8265641927719116
3.914,./data/SAR/20180429_235956_canny.tif,484,4112,1,3,0.3215686274509804,0.1019607843137254,0.1305277805702359,0.24910953640937805,0.7508905529975891
3.06,./data/SAR/20180429_235956_canny.tif,485,4113,1,3,0.396078431372549,0.0862745098039215,0.1305398230459175,0.09327543526887894,0.9067246317863464
2.539,./data/SAR/20180429_235956_canny.tif,487,4114,1,3,0.4352941176470588,0.1176470588235294,0.1305518655215992,0.030228285118937492,0.9697717428207397
2.629,./data/SAR/20180429_235956_canny.tif,488,4114,1,3,0.4823529411764706,0.1529411764705882,0.1305518655215992,0.03090764954686165,0.9690923690795898
2.497,./data/SAR/20180429_235956_canny.tif,489,4115,1,3,0.396078431372549,0.1764705882352941,0.130563922956878,0.0499495230615139,0.950050413608551
1.884,./data/SAR/20180429_235956_canny.tif,490,4116,1,3,0.3137254901960784,0.1490196078431372,0.1305759654325597,0.07092273235321045,0.9290772676467896
3.399,./data/SAR/20180429_235956_canny.tif,491,4116,1,0,0.3725490196078431,0.1098039215686274,0.1305759654325597,0.05146784707903862,0.9485321640968323
1.757,./data/SAR/20180429_235956_canny.tif,493,4117,1,3,0.6078431372549019,0.1686274509803921,0.1305880228678385,0.18252399563789368,0.8174760341644287
1.835,./data/SAR/20180429_235956_canny.tif,494,4118,1,3,0.5372549019607843,0.1607843137254902,0.1306000653435202,0.2023172676563263,0.7976827621459961
1.986,./data/SAR/20180429_235956_canny.tif,495,4118,1,3,0.3372549019607843,0.1215686274509803,0.1306000653435202,0.27527591586112976,0.7247241735458374
3.529,./data/SAR/20180429_235956_canny.tif,496,4119,1,0,0.2313725490196078,0.0980392156862745,0.130612122778799,0.3874348998069763,0.6125651597976685
3.801,./data/SAR/20180429_235956_canny.tif,497,4120,1,3,0.3294117647058823,0.0980392156862745,0.1306241652544807,0.30820903182029724,0.6917909383773804
2.407,./data/SAR/20180429_235956_canny.tif,498,4121,1,3,0.3490196078431372,0.1137254901960784,0.1306362226897595,0.2604389488697052,0.739561140537262
2.751,./data/SAR/20180429_235956_canny.tif,499,4121,1,3,0.388235294117647,0.1372549019607843,0.1306362226897595,0.114003986120224,0.8859959840774536
2.292,./data/SAR/20180429_235956_canny.tif,500,4122,1,3,0.4823529411764706,0.1176470588235294,0.1306482651654411,0.12180221080780029,0.8781977295875549
2.906,./data/SAR/20180429_235956_canny.tif,502,4123,1,3,0.3686274509803922,0.1137254901960784,0.1306603226007199,0.22965890169143677,0.7703410983085632
3.456,./data/SAR/20180429_235956_canny.tif,503,4124,1,3,0.4588235294117647,0.1647058823529411,0.1306723650764016,0.13048934936523438,0.8695107102394104
2.862,./data/SAR/20180429_235956_canny.tif,504,4124,1,3,0.4705882352941176,0.1294117647058823,0.1306723650764016,0.1811760514974594,0.8188239336013794
3.076,./data/SAR/20180429_235956_canny.tif,505,4125,1,3,0.3764705882352941,0.0705882352941176,0.1306844225116804,0.13859644532203674,0.8614035844802856
3.432,./data/SAR/20180429_235956_canny.tif,506,4126,1,3,0.2627450980392157,0.1294117647058823,0.1306964649873621,0.2417178601026535,0.7582821846008301
1.61,./data/SAR/20180429_235956_canny.tif,508,4126,1,0,0.4117647058823529,0.1490196078431372,0.1306964649873621,0.46327024698257446,0.5367298126220703
2.051,./data/SAR/20180429_235956_canny.tif,509,4127,1,3,0.3098039215686274,0.1725490196078431,0.1307085224226409,0.45396679639816284,0.5460332632064819
2.439,./data/SAR/20180429_235956_canny.tif,510,4128,1,3,0.2823529411764706,0.1490196078431372,0.1307205648983226,0.4142788350582123,0.5857211947441101
1.873,./data/SAR/20180429_235956_canny.tif,511,4129,1,3,0.3725490196078431,0.1176470588235294,0.1307326223336014,0.2511751651763916,0.7488248944282532
2.167,./data/SAR/20180429_235956_canny.tif,512,4129,1,3,0.3843137254901961,0.1411764705882353,0.1307326223336014,0.29550448060035706,0.7044954895973206
2.68,./data/SAR/20180429_235956_canny.tif,513,4130,1,3,0.5411764705882353,0.1333333333333333,0.1307446648092831,0.15824587643146515,0.8417541980743408
2.282,./data/SAR/20180429_235956_canny.tif,515,4130,1,3,0.4549019607843137,0.1215686274509803,0.1307446648092831,0.17832250893115997,0.821677565574646
2.146,./data/SAR/20180429_235956_canny.tif,516,4131,1,0,0.3607843137254902,0.1019607843137254,0.1307567072849647,0.47925227880477905,0.5207477807998657
1.964,./data/SAR/20180429_235956_canny.tif,517,4132,1,1,0.2588235294117647,0.1098039215686274,0.1307687647202435,0.3561454117298126,0.6438546180725098
1.805,./data/SAR/20180429_235956_canny.tif,518,4132,1,0,0.2901960784313726,0.1254901960784313,0.1307687647202435,0.4014539420604706,0.5985460877418518
2.35,./data/SAR/20180429_235956_canny.tif,520,4133,1,1,0.4588235294117647,0.1490196078431372,0.1307808071959252,0.5233302712440491,0.4766698181629181
2.441,./data/SAR/20180429_235956_canny.tif,521,4134,1,1,0.4196078431372549,0.1686274509803921,0.130792864631204,0.5297644734382629,0.47023552656173706
2.168,./data/SAR/20180429_235956_canny.tif,522,4134,1,1,0.3568627450980392,0.1254901960784313,0.130792864631204,0.5985120534896851,0.40148797631263733
1.995,./data/SAR/20180429_235956_canny.tif,523,4135,1,3,0.2509803921568627,0.1058823529411764,0.1308049071068857,0.6678777933120728,0.33212217688560486
1.743,./data/SAR/20180429_235956_canny.tif,524,4136,1,3,0.2470588235294117,0.1215686274509803,0.1308169645421645,0.7541947364807129,0.24580524861812592
1.838,./data/SAR/20180429_235956_canny.tif,525,4137,1,3,0.1686274509803921,0.1176470588235294,0.1308290070178462,0.4932551085948944,0.5067448616027832
2.735,./data/SAR/20180429_235956_canny.tif,526,4138,1,3,0.3254901960784314,0.1333333333333333,0.130841064453125,0.37790927290916443,0.6220908164978027
3.003,./data/SAR/20180429_235956_canny.tif,528,4139,1,3,0.4431372549019607,0.1450980392156863,0.1308531069288066,0.3443200886249542,0.6556799411773682
2.648,./data/SAR/20180429_235956_canny.tif,529,4139,1,3,0.3333333333333333,0.1490196078431372,0.1308531069288066,0.2852133810520172,0.7147866487503052
2.095,./data/SAR/20180429_235956_canny.tif,530,4140,1,3,0.3176470588235294,0.1137254901960784,0.1308651643640855,0.15336643159389496,0.8466336131095886
2.462,./data/SAR/20180429_235956_canny.tif,531,4141,1,3,0.2901960784313726,0.1098039215686274,0.1308772068397671,0.18361228704452515,0.8163877129554749
3.29,./data/SAR/20180429_235956_canny.tif,532,4142,1,3,0.3098039215686274,0.1137254901960784,0.1308892642750459,0.2156924456357956,0.784307599067688
2.966,./data/SAR/20180429_235956_canny.tif,533,4143,1,3,0.3607843137254902,0.1176470588235294,0.1309013067507276,0.263681024312973,0.7363189458847046
2.69,./data/SAR/20180429_235956_canny.tif,534,4144,1,1,0.3490196078431372,0.2078431372549019,0.1309133641860064,0.17203816771507263,0.8279618620872498
